person1	person2	label
c976e1b5-0635-42be-8512-021a5953fca9::span:940:950	c976e1b5-0635-42be-8512-021a5953fca9::span:904:915	-1
f3552212-8dbe-4f29-9415-76d800052a84::span:1507:1514	f3552212-8dbe-4f29-9415-76d800052a84::span:1518:1529	-1
04c84f3f-4c1e-43d2-a7e4-7cfd1833f148::span:3150:3156	04c84f3f-4c1e-43d2-a7e4-7cfd1833f148::span:3191:3197	-1
a9e0f535-9870-4a7c-a314-f9f00153b09f::span:702:717	a9e0f535-9870-4a7c-a314-f9f00153b09f::span:588:600	1
eea50da5-c5ef-4e37-8d9b-db7942c1b7fd::span:546:560	eea50da5-c5ef-4e37-8d9b-db7942c1b7fd::span:499:505	-1
3dd4aec5-dde3-461d-b6a4-9e57e39c9d05::span:503:520	3dd4aec5-dde3-461d-b6a4-9e57e39c9d05::span:675:687	-1
3dd4aec5-dde3-461d-b6a4-9e57e39c9d05::span:503:520	3dd4aec5-dde3-461d-b6a4-9e57e39c9d05::span:508:528	-1
3dd4aec5-dde3-461d-b6a4-9e57e39c9d05::span:675:687	3dd4aec5-dde3-461d-b6a4-9e57e39c9d05::span:508:528	-1
773a6be0-7588-4ef6-b0ce-90a651e63464::span:7733:7748	773a6be0-7588-4ef6-b0ce-90a651e63464::span:8405:8408	-1
2a804a4e-ddf1-41a6-ad42-816a9c68f8fb::span:511:513	2a804a4e-ddf1-41a6-ad42-816a9c68f8fb::span:478:492	-1
3dd4aec5-dde3-461d-b6a4-9e57e39c9d05::span:176:182	3dd4aec5-dde3-461d-b6a4-9e57e39c9d05::span:250:254	-1
2a804a4e-ddf1-41a6-ad42-816a9c68f8fb::span:0:2	2a804a4e-ddf1-41a6-ad42-816a9c68f8fb::span:30:36	-1
7351f501-5b1f-4c2e-8093-efe3a98d5b8f::span:3017:3022	7351f501-5b1f-4c2e-8093-efe3a98d5b8f::span:3025:3035	-1
7351f501-5b1f-4c2e-8093-efe3a98d5b8f::span:3017:3022	7351f501-5b1f-4c2e-8093-efe3a98d5b8f::span:3104:3109	-1
7351f501-5b1f-4c2e-8093-efe3a98d5b8f::span:3025:3035	7351f501-5b1f-4c2e-8093-efe3a98d5b8f::span:3104:3109	-1
d2589e20-bd42-4e20-a8c0-9684cda04f30::span:117:126	d2589e20-bd42-4e20-a8c0-9684cda04f30::span:29:40	-1
c7dfcf6e-76ce-477c-ab9c-f2b64c7709c8::span:172:187	c7dfcf6e-76ce-477c-ab9c-f2b64c7709c8::span:208:218	-1
eea50da5-c5ef-4e37-8d9b-db7942c1b7fd::span:2706:2724	eea50da5-c5ef-4e37-8d9b-db7942c1b7fd::span:2740:2754	-1
a9ab5a03-6d39-4a4d-b415-3b5a70631854::span:2641:2655	a9ab5a03-6d39-4a4d-b415-3b5a70631854::span:2725:2732	-1
a9ab5a03-6d39-4a4d-b415-3b5a70631854::span:2641:2655	a9ab5a03-6d39-4a4d-b415-3b5a70631854::span:2693:2704	-1
a9ab5a03-6d39-4a4d-b415-3b5a70631854::span:2725:2732	a9ab5a03-6d39-4a4d-b415-3b5a70631854::span:2693:2704	-1
a9ab5a03-6d39-4a4d-b415-3b5a70631854::span:2540:2545	a9ab5a03-6d39-4a4d-b415-3b5a70631854::span:2609:2621	-1
