AAA	Abdominal aortic aneurysm
AAS	Aarskog–Scott syndrome
ABCD syndrome	albinism, black lock, cell migration disorder
ACC	Agenesis of the corpus callosum
ACS	Acute coronary syndrome
ACTH deficiency	Adrenocorticotropic hormone deficiency
AD	Alzheimer's Disease
AD	Attachment disorder
ADD	Attention deficit disorder
ADD-RT	Attention deficit disorder – residual type
ADEM	Acute disseminated encephalomyelitis
ADHD	Attention deficit hyperactivity disorder
AF	Atrial fibrillation
AGS	Aicardi–Goutieres syndrome
AHC	Alternating hemiplegia of childhood
AIDS	Acquired immune deficiency syndrome
AIP	Acute intermittent porphyria
ALA DD	Doss porphyria/ALA dehydratase deficiency/Plumboporphyria
ALI	Acute lung injury
ALS	Amyotrophic lateral sclerosis
AMD	Age-related macular degeneration
AOS	Apraxia of speech
APA	Aldosterone-producing adenoma
APS	Antiphospholipid syndrome
ARBD	Alcohol-related birth defects
ARD	Adult Refsum disease
ARDS	Acute respiratory distress syndrome
ARND	Alcohol-related neurodevelopmental disorder
AS	Ankylosing spondylitis
AS	Asperger syndrome
ASD	Atrial septal defect
ASDs	Autism spectrum disorders
A-T	Ataxia-telangiectasia
AVMs	Arteriovenous malformations
BBS	Bashful bladder syndrome (see Paruresis)
BEB	Benign essential blepharospasm
BD	Binswanger's disease
BEH	Behaviorally/emotionally handicapped
BH	Behaviorally handicapped
BMD	Becker's muscular dystrophy
BPD	Borderline personality disorder
BPH	Benign prostatic hyperplasia
BS	Bloom's syndrome
BSE	Bovine spongiform encephalopathy
BSS	Brown–Sequard syndrome
BV	Bacterial vaginosis
CACH	Central nervous system hypomyelination
CAD	Coronary artery disease
CADASIL	Cerebral autosomal dominant arteriopathy with sub-cortical infarcts and leukoencephalopathy
CAPD	Central auditory processing disorder
CCD	Considerable conduct disorder
CCHF	Crimean-Congo haemorrhagic fever
CCHS	Congenital central hypoventilation syndrome
CCM	Cerebral cavernous malformation
CDG	Congenital disorder of glycosylation
CDGS	Carbohydrate deficient glycoprotein syndrome
CEP	Congenital erythropoietic porphyria
CESD	Cholesteryl ester storage disease
CF	Cystic fibrosis
CFIDS	Chronic fatigue immune dysfunction syndrome
CFS	Chronic fatigue syndrome
CGBD	Corticobasal ganglionic degeneration
CH	Cluster headache
CHARGE syndrome	Coloboma of the eye, heart defects, atresia of the nasal choanae, retarded growth & or development, genital abnormalities, ear abnormalities
CHD	Congenital heart disease
CHD	Congenital hip dysplasia
CHD	Coronary heart disease
CHF	Congestive heart failure
CIDP	Chronic inflammatory demyelinating polyneuropathy
CIPA	Congenital insensitivity to pain with anhidrosis
CJD	Creutzfeldt-Jakob disease
CMs	Chiari malformations
CMT disease	Charcot–Marie–Tooth disease
COFS	Cerebro-oculo-facio-skeletal syndrome
COPD	Chronic obstructive pulmonary disease
CP	Cerebral Palsy
CP/CPPS	Chronic prostatitis/chronic pelvic pain syndrome
CPDD	Calcium pyrophosphate deposition disease
CPM	Central pontine myelinolysis
CPPS	Chronic pelvic pain syndrome
CRF	Chronic renal failure
CRKP	Carbapenem resistant Klebsiella pneumonia
CRPS	Complex regional pain syndrome
CSA	Central sleep apnea
CSD	Cat scratch disease
CVD	Cardiovascular disease
DAS	Developmental apraxia of speech
DBA	Diamond–Blackfan anemia
DBMD	Duchenne–Becker muscular dystrophy
DD	Developmental disability
DEF	Deaf
DF	Dengue fever
DH	Developmentally handicapped
DHF	Dengue hemorrhagic fever
DiG	DiGeorge syndrome
DISH	Diffuse Idiopathic Skeletal Hyperostosis
DLB	Dementia with Lewy bodies
DM	Diabetes mellitus
DMD	Duchenne muscular dystrophy
DP	Doss porphyria/ALA dehydratase deficiency/Plumboporphyria
DRSP disease	Drug-resistant Streptococcus pneumoniae disease
DS	Down syndrome
DSPS	Delayed sleep phase syndrome
DTs	Delirium tremens
DVD	Developmental verbal dyspraxia
DVT	Deep vein thrombosis
ED	Emotionally disturbed
EDS	Ehlers–Danlos syndrome
EDS	Excessive daytime sleepiness
EEE	Eastern equine encephalitis
EHK	Epidermolytic hyperkeratosis
EMH	Educable mentally handicapped
EMR	Educable mentally retarded
ENS	Epidermal nevus syndrome
EPM	Extrapontine myelinolysis
EPP	Erythropoietic protoporphyria
ESRD	End-stage renal disease
ESS	Empty sella syndrome
FAE	Fetal alcohol effects
FAS	Fetal alcohol syndrome
FASDs	Fetal alcohol spectrum disorders
FFI	Fatal familial insomnia
FMA	Focal muscular atrophies
FMD	Fibromuscular dysplasia
FMS	Fibromyalgia syndrome
FSP	Familial spastic paraparesis
FTD	Frontotemporal dementia
FVS	Fetal valproate syndrome
FXS	Fragile X syndrome
GAD	Generalized anxiety disorder
GAN	Giant axonal neuropathy
GAS disease	Group A Streptococcal disease
GBS	Guillain–Barré syndrome
GBS disease	Group B Streptococcal disease
GCE	Glycine encephalopathy
GD	Gestational diabetes
GERD	Gastroesophageal reflux disease
GI	Gastrointestinal
GIB	Gastrointestinal bleeding
GN	Glossopharyngeal neuralgia
GSS disease	Gerstmann–Straussler–Scheinker disease
GT/LD	Gifted and learning disabled
GVHD	Graft-versus-host disease
GWD	Guinea worm disease
HAS	Holmes–Adie syndrome
HCP	Hereditary coproporphyria
HD	Huntington's disease
HDL2	Huntington's disease–like 2
HELLP syndrome	Hemolytic anemia, elevated liver enzymes and low platelet count syndrome
HFA	High-functioning autism
HFMD	Hand, foot, and mouth disease
HFRS	Hemorrhagic fever with renal syndrome
HI	Hearing impaired
HiB disease	Haemophilus influenzae type B disease
HMSN Type III	Hereditary motor and sensory polyneuropathy type III (see Dejerine–Sottas syndrome)
