person1	person2	label
2328dfa5-e2b7-485a-8f37-da141aa111b3::span:809:812	2328dfa5-e2b7-485a-8f37-da141aa111b3::span:773:775	-1
42b737d8-fd72-495d-8429-c4bbf49f60ed::span:3705:3716	42b737d8-fd72-495d-8429-c4bbf49f60ed::span:3668:3674	-1
36c3703b-bd5b-4888-be46-2f45bcb37f8e::span:95:106	36c3703b-bd5b-4888-be46-2f45bcb37f8e::span:0:10	1
e16a971f-23ce-42e4-81df-b2386126f8b3::span:126:134	e16a971f-23ce-42e4-81df-b2386126f8b3::span:140:157	-1
c8190256-3750-455f-932c-a461d438c852::span:3902:3912	c8190256-3750-455f-932c-a461d438c852::span:3984:3993	-1
f33895f3-ac5e-4ebc-ad52-3de32b5ffbb3::span:1702:1712	f33895f3-ac5e-4ebc-ad52-3de32b5ffbb3::span:1500:1507	-1
e5a909c6-7f2d-423a-8ca2-f33ce2555c44::span:6030:6041	e5a909c6-7f2d-423a-8ca2-f33ce2555c44::span:6013:6024	-1
fca171d9-8e0a-4c2f-80de-488f1a166532::span:2449:2463	fca171d9-8e0a-4c2f-80de-488f1a166532::span:2428:2437	-1
82158681-5280-4f7e-9ba5-fb04f78bd5a4::span:838:845	82158681-5280-4f7e-9ba5-fb04f78bd5a4::span:917:920	-1
bd5bd79c-6d36-45bc-a5d3-29d711098202::span:3469:3473	bd5bd79c-6d36-45bc-a5d3-29d711098202::span:3479:3484	-1
9199b55e-f49f-42a2-96a8-5a72b02790e2::span:28108:28115	9199b55e-f49f-42a2-96a8-5a72b02790e2::span:28183:28189	-1
53ee44ac-8634-4449-afb8-7c69b108aafd::span:708:721	53ee44ac-8634-4449-afb8-7c69b108aafd::span:977:989	1
7b7970eb-03fc-458f-a52a-adc1a2f1744c::span:3617:3630	7b7970eb-03fc-458f-a52a-adc1a2f1744c::span:3674:3689	-1
a0af5c40-b365-4d3c-bf23-869dc0f268dc::span:17231:17237	a0af5c40-b365-4d3c-bf23-869dc0f268dc::span:17293:17299	-1
618d74fa-1280-46e4-a723-71de9a8d7a94::span:867:876	618d74fa-1280-46e4-a723-71de9a8d7a94::span:952:960	-1
e75fe0f0-7c15-4744-a53a-b78c25bf656f::span:835:846	e75fe0f0-7c15-4744-a53a-b78c25bf656f::span:814:818	-1
a561ad6f-db02-4117-8ecb-7ddd38a48525::span:1280:1285	a561ad6f-db02-4117-8ecb-7ddd38a48525::span:1218:1230	-1
0a7d0b54-04f8-4a6d-88cd-b8fb8031c7fc::span:795:806	0a7d0b54-04f8-4a6d-88cd-b8fb8031c7fc::span:749:751	-1
467879a1-18b3-4699-9de1-207bdb3c5f47::span:10:29	467879a1-18b3-4699-9de1-207bdb3c5f47::span:37:43	1
a5e8f68b-b58e-4296-bf3e-5e6e960f2ac1::span:2750:2759	a5e8f68b-b58e-4296-bf3e-5e6e960f2ac1::span:2735:2744	-1
8cd896e6-056b-4798-9166-940f6580a7d3::span:2220:2228	8cd896e6-056b-4798-9166-940f6580a7d3::span:2244:2255	-1
10b36065-e097-4df0-bfe1-9cab89afced4::span:3550:3562	10b36065-e097-4df0-bfe1-9cab89afced4::span:3568:3577	-1
e3cb501b-cd59-4fb7-b80a-26a0c50af7ef::span:5275:5286	e3cb501b-cd59-4fb7-b80a-26a0c50af7ef::span:5385:5393	-1
b405fcc5-5d8e-464f-96d0-aff69211f5fc::span:39:49	b405fcc5-5d8e-464f-96d0-aff69211f5fc::span:310:320	-1
df7c5e11-f2a5-4889-9a30-df01262a8a25::span:39:52	df7c5e11-f2a5-4889-9a30-df01262a8a25::span:100:118	-1
e5ce04c0-b98b-4c2a-abf6-44a17acae3a0::span:2797:2802	e5ce04c0-b98b-4c2a-abf6-44a17acae3a0::span:2773:2779	-1
47bd3d38-3bf7-4606-a9c4-af20d55eda7d::span:999:1010	47bd3d38-3bf7-4606-a9c4-af20d55eda7d::span:701:710	-1
eaac3266-f764-4ba8-ab6e-2488dc69fbc9::span:2417:2421	eaac3266-f764-4ba8-ab6e-2488dc69fbc9::span:2381:2386	-1
e8976faf-4a1a-4c19-ae4a-b3441ffb8940::span:91:104	e8976faf-4a1a-4c19-ae4a-b3441ffb8940::span:110:120	1
322723ad-0c61-4bfb-88bf-50b20f58d374::span:1620:1626	322723ad-0c61-4bfb-88bf-50b20f58d374::span:1583:1589	-1
2667f876-2b6f-4516-b4b6-2024246d3d66::span:2238:2241	2667f876-2b6f-4516-b4b6-2024246d3d66::span:2269:2277	-1
8f46aa5e-8e17-43f9-b82a-28ceb183c022::span:5390:5400	8f46aa5e-8e17-43f9-b82a-28ceb183c022::span:5347:5352	-1
dbc0fd7d-5ea1-47e2-b991-b6d5eb2b163c::span:1315:1317	dbc0fd7d-5ea1-47e2-b991-b6d5eb2b163c::span:1242:1255	-1
0466d5cb-256b-41a0-9cd2-cc41d8916ede::span:2884:2891	0466d5cb-256b-41a0-9cd2-cc41d8916ede::span:3082:3088	-1
daf5cb67-788b-4de6-b8cc-19f39ced2ab8::span:4083:4086	daf5cb67-788b-4de6-b8cc-19f39ced2ab8::span:4095:4107	-1
d01e7e04-b84a-41c6-905c-23d3243de6ca::span:2103:2110	d01e7e04-b84a-41c6-905c-23d3243de6ca::span:1970:1984	-1
2c4049d3-08bd-404a-87a5-2b9389cee769::span:339:348	2c4049d3-08bd-404a-87a5-2b9389cee769::span:239:250	-1
77d7e5be-5cbc-4f79-ad32-b928f37eadea::span:408:421	77d7e5be-5cbc-4f79-ad32-b928f37eadea::span:466:477	-1
8ed8e52a-d1e9-4df2-b7cf-c5bf3961d40d::span:3767:3778	8ed8e52a-d1e9-4df2-b7cf-c5bf3961d40d::span:4044:4048	-1
3982c852-c844-47fa-98a3-ffa4c52a9c67::span:2493:2501	3982c852-c844-47fa-98a3-ffa4c52a9c67::span:2469:2487	-1
87390bff-e5fb-4459-b0e8-d3055a6e2f63::span:7479:7482	87390bff-e5fb-4459-b0e8-d3055a6e2f63::span:7398:7407	-1
0023c4a1-446c-488e-949a-1edbbb4354b3::span:7085:7095	0023c4a1-446c-488e-949a-1edbbb4354b3::span:7043:7059	-1
30c7d168-d469-47c1-a85a-83d85ad594e5::span:3232:3246	30c7d168-d469-47c1-a85a-83d85ad594e5::span:3211:3220	-1
6586606d-bec5-417b-9deb-f5d52da04649::span:348:359	6586606d-bec5-417b-9deb-f5d52da04649::span:290:300	-1
3375a3c2-9b8a-423a-8334-32fe860be60e::span:780:799	3375a3c2-9b8a-423a-8334-32fe860be60e::span:762:772	-1
38e0da50-c803-4982-aae3-f2259c81efc7::span:2654:2665	38e0da50-c803-4982-aae3-f2259c81efc7::span:2726:2731	-1
7f3a99b0-84ae-467f-887e-841888bcf686::span:699:702	7f3a99b0-84ae-467f-887e-841888bcf686::span:1104:1109	-1
3b572202-04a1-4310-978f-ca2f2747e2b3::span:282:292	3b572202-04a1-4310-978f-ca2f2747e2b3::span:298:310	1
b6334bbc-47de-4cde-a620-7a82736ffcdb::span:2582:2584	b6334bbc-47de-4cde-a620-7a82736ffcdb::span:2641:2659	-1
28fa0915-ec80-4b41-9875-6d2f0a1b4dcc::span:2752:2766	28fa0915-ec80-4b41-9875-6d2f0a1b4dcc::span:2732:2742	-1
7c6a005b-61a1-4f7a-b11e-7bd38447540d::span:60:64	7c6a005b-61a1-4f7a-b11e-7bd38447540d::span:67:78	-1
23b45c87-b77e-457a-a92f-d94b38369b45::span:8025:8037	23b45c87-b77e-457a-a92f-d94b38369b45::span:8097:8107	-1
0a82b8cd-f6b3-4a4f-a55d-851b8a73459d::span:582:597	0a82b8cd-f6b3-4a4f-a55d-851b8a73459d::span:687:699	1
e99efcab-527f-477a-a861-154e4dbb4b2a::span:2919:2924	e99efcab-527f-477a-a861-154e4dbb4b2a::span:2829:2833	-1
dd3f7f97-6acf-48e0-9645-0eb8881b9b6a::span:2402:2411	dd3f7f97-6acf-48e0-9645-0eb8881b9b6a::span:2433:2437	-1
ec343a1c-85bd-4a0a-ad92-9a291fa85061::span:10337:10340	ec343a1c-85bd-4a0a-ad92-9a291fa85061::span:10435:10438	-1
677cb735-d17a-4b1b-902b-1b5c8ace7f51::span:8896:8903	677cb735-d17a-4b1b-902b-1b5c8ace7f51::span:8857:8871	-1
7f3a99b0-84ae-467f-887e-841888bcf686::span:1065:1070	7f3a99b0-84ae-467f-887e-841888bcf686::span:699:702	-1
93b42cc4-382e-41e2-ba28-ff21f6c3716f::span:50:64	93b42cc4-382e-41e2-ba28-ff21f6c3716f::span:30:44	-1
e87c20b0-2955-4d9a-9e6e-5b21ccff9de0::span:2969:2978	e87c20b0-2955-4d9a-9e6e-5b21ccff9de0::span:2865:2867	-1
d975ddca-17dc-4bc5-9391-08bdc1cc0127::span:1850:1851	d975ddca-17dc-4bc5-9391-08bdc1cc0127::span:1916:1920	-1
bb92df8d-1922-49a5-9730-222493f25d12::span:1723:1727	bb92df8d-1922-49a5-9730-222493f25d12::span:1675:1690	-1
8f46aa5e-8e17-43f9-b82a-28ceb183c022::span:4090:4102	8f46aa5e-8e17-43f9-b82a-28ceb183c022::span:4075:4087	-1
d567cabb-a65f-426f-a283-a7008e00a75e::span:10547:10551	d567cabb-a65f-426f-a283-a7008e00a75e::span:10326:10330	-1
affed66e-3a08-40d0-b11f-51b5727dccc4::span:182:186	affed66e-3a08-40d0-b11f-51b5727dccc4::span:224:226	-1
c393a09d-b1a5-4161-b0e2-073fbcc57cec::span:6320:6326	c393a09d-b1a5-4161-b0e2-073fbcc57cec::span:6336:6344	-1
e4ecae10-8368-4a2e-80fa-8a7dc1042e60::span:4563:4573	e4ecae10-8368-4a2e-80fa-8a7dc1042e60::span:4623:4633	-1
af97e8b4-298a-43a9-9429-dfb89d648937::span:156:159	af97e8b4-298a-43a9-9429-dfb89d648937::span:166:177	-1
2328dfa5-e2b7-485a-8f37-da141aa111b3::span:742:752	2328dfa5-e2b7-485a-8f37-da141aa111b3::span:884:894	-1
3c87f4aa-5266-4f67-9957-30948f82bbc0::span:981:991	3c87f4aa-5266-4f67-9957-30948f82bbc0::span:619:630	-1
2d0ee5cb-befb-4161-be8a-43dd3a5b8d9b::span:4722:4731	2d0ee5cb-befb-4161-be8a-43dd3a5b8d9b::span:4781:4793	-1
46293950-dc62-408f-944c-369a51a05e40::span:2184:2189	46293950-dc62-408f-944c-369a51a05e40::span:2049:2057	-1
c24931e6-be98-4056-ae2d-ab91fe5a2514::span:3:8	c24931e6-be98-4056-ae2d-ab91fe5a2514::span:265:276	-1
79ab5eaf-798f-436b-9349-2914c3e0858a::span:4923:4927	79ab5eaf-798f-436b-9349-2914c3e0858a::span:4617:4621	-1
eb37fc13-8650-4762-995d-ef19d981341d::span:485:489	eb37fc13-8650-4762-995d-ef19d981341d::span:546:549	-1
