Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP52_-16.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP52DITR-ND,DCP52-13,Diodes Incorporated,TRANS PNP 60V 1A SOT-223,2500,0,"0.08100","0","2500","Tape & Reel (TR)","-","Active","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","40 @ 150mA, 2V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP52_-16.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP52DICT-ND,DCP52-13,Diodes Incorporated,TRANS PNP 60V 1A SOT-223,1444,0,"0.42000","0","1","Cut Tape (CT)","-","Discontinued","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","40 @ 150mA, 2V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP52_-16.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP52DIDKR-ND,DCP52-13,Diodes Incorporated,TRANS PNP 60V 1A SOT-223,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","40 @ 150mA, 2V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP52_-16.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP52-16DITR-ND,DCP52-16-13,Diodes Incorporated,TRANS PNP 60V 1A SOT-223,2500,0,"0.08100","0","2500","Tape & Reel (TR)","-","Active","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","100 @ 150mA, 2V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP52_-16.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP52-16DICT-ND,DCP52-16-13,Diodes Incorporated,TRANS PNP 60V 1A SOT-223,74,0,"0.38000","0","1","Cut Tape (CT)","-","Discontinued","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","100 @ 150mA, 2V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP52_-16.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP52-16DIDKR-ND,DCP52-16-13,Diodes Incorporated,TRANS PNP 60V 1A SOT-223,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","1A","60V","500mV @ 50mA, 500mA","100nA (ICBO)","100 @ 150mA, 2V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP69A(-16).pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69ADITR-ND,DCP69A-13,Diodes Incorporated,TRANS PNP 20V 1A SOT223,2500,0,"0.08100","0","2500","Tape & Reel (TR)","-","Active","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","85 @ 500mA, 1V","1W","250MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP69A(-16).pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69ADICT-ND,DCP69A-13,Diodes Incorporated,TRANS PNP 20V 1A SOT223,1587,0,"0.37000","0","1","Cut Tape (CT)","-","Discontinued","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","85 @ 500mA, 1V","1W","250MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP69A(-16).pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69ADIDKR-ND,DCP69A-13,Diodes Incorporated,TRANS PNP 20V 1A SOT223,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","85 @ 500mA, 1V","1W","250MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP69A(-16).pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69A-16DITR-ND,DCP69A-16-13,Diodes Incorporated,TRANS PNP 20V 1A SOT-223,2500,0,"0.08100","0","2500","Tape & Reel (TR)","-","Active","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","85 @ 500mA, 1V","1W","250MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP69A(-16).pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69A-16DICT-ND,DCP69A-16-13,Diodes Incorporated,TRANS PNP 20V 1A SOT-223,2788,0,"0.38000","0","1","Cut Tape (CT)","-","Active","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","85 @ 500mA, 1V","1W","250MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCP69A(-16).pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69A-16DIDKR-ND,DCP69A-16-13,Diodes Incorporated,TRANS PNP 20V 1A SOT-223,2788,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","85 @ 500mA, 1V","1W","250MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds30798.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69DITR-ND,DCP69-13,Diodes Incorporated,TRANS PNP 20V 1A SOT-223,2500,0,"0.08100","0","2500","Tape & Reel (TR)","-","Active","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","85 @ 500mA, 1V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds30798.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69DICT-ND,DCP69-13,Diodes Incorporated,TRANS PNP 20V 1A SOT-223,2658,0,"0.38000","0","1","Cut Tape (CT)","-","Active","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","85 @ 500mA, 1V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds30798.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69DIDKR-ND,DCP69-13,Diodes Incorporated,TRANS PNP 20V 1A SOT-223,2658,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","85 @ 500mA, 1V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCX53(-16).pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,1034-DCX53DITR-ND,DCX53-13,Diodes Incorporated,TRANS PNP 80V 1A SOT89-3,2500,0,"0.08100","0","2500","Tape & Reel (TR)","-","Active","PNP","1A","80V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCX53(-16).pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,1034-DCX53DICT-ND,DCX53-13,Diodes Incorporated,TRANS PNP 80V 1A SOT89-3,1237,0,"0.38000","0","1","Cut Tape (CT)","-","Discontinued","PNP","1A","80V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
//media.digikey.com/pdf/Data%20Sheets/Diodes%20PDFs/DCX53(-16).pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,1034-DCX53DIDKR-ND,DCX53-13,Diodes Incorporated,TRANS PNP 80V 1A SOT89-3,0,0,"Calculate","0","1","Digi-Reel®","-","Discontinued","PNP","1A","80V","500mV @ 50mA, 500mA","100nA (ICBO)","63 @ 150mA, 2V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
http://www.diodes.com/_files/datasheets/ds30798.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69-16DITR-ND,DCP69-16-13,Diodes Incorporated,TRANS PNP 20V 1A SOT-223,2500,0,"0.08442","0","2500","Tape & Reel (TR)","-","Active","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","100 @ 500mA, 1V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds30798.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69-16DICT-ND,DCP69-16-13,Diodes Incorporated,TRANS PNP 20V 1A SOT-223,4935,0,"0.39000","0","1","Cut Tape (CT)","-","Active","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","100 @ 500mA, 1V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds30798.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP69-16DIDKR-ND,DCP69-16-13,Diodes Incorporated,TRANS PNP 20V 1A SOT-223,4935,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","100 @ 500mA, 1V","1W","200MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds30797.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP68-25DITR-ND,DCP68-25-13,Diodes Incorporated,TRANS NPN 20V 1A SOT-223,2500,0,"0.08442","0","2500","Tape & Reel (TR)","-","Active","NPN","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","160 @ 500mA, 1V","1W","330MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds30797.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP68-25DICT-ND,DCP68-25-13,Diodes Incorporated,TRANS NPN 20V 1A SOT-223,4223,0,"0.39000","0","1","Cut Tape (CT)","-","Active","NPN","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","160 @ 500mA, 1V","1W","330MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds30797.pdf,//media.digikey.com/Photos/Diodes%20Photos/MFG_AZ1117I-SOT223.jpg,1034-DCP68-25DIDKR-ND,DCP68-25-13,Diodes Incorporated,TRANS NPN 20V 1A SOT-223,4223,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","1A","20V","500mV @ 100mA, 1A","100nA (ICBO)","160 @ 500mA, 1V","1W","330MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.st.com/content/ccc/resource/technical/document/datasheet/group1/ef/37/18/90/2d/6a/4f/a6/CD00001751/files/CD00001751.pdf/jcr:content/translations/en.CD00001751.pdf,//media.digikey.com/Renders/STMicro%20Renders/497;TO92-3-Formed;;3.jpg,497-12238-3-ND,STBV32-AP,STMicroelectronics,TRANS NPN 400V 1.5A TO-92,8000,0,"0.08640","0","2000","Tape & Box (TB)","-","Active","NPN","1.5A","400V","1.5V @ 500mA, 1.5A","1mA","5 @ 1A, 2V","1.5W","-","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92AP"
