Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/bipolar/2sd2696t2l-e.pdf,//media.digikey.com/renders/Rohm%20Renders/VMT3%20Pkg.jpg,2SD2696T2LDKR-ND,2SD2696T2L,Rohm Semiconductor,TRANS NPN 30V 0.4A VMT3,7738,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","400mA","30V","300mV @ 2mA, 100mA","100nA (ICBO)","270 @ 100mA, 2V","150mW","400MHz","150°C (TJ)","Surface Mount","SOT-723","VMT3"
http://www.nxp.com/documents/data_sheet/PBSS4160QA.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-XFDFN%20Exposed%20Pad.jpg,568-10933-2-ND,PBSS4160QAZ,NXP USA Inc.,TRANS NPN 60V 1A 3DFN,0,0,"0.09775","0","5000","Tape & Reel (TR)","-","Active","NPN","1A","60V","245mV @ 50mA, 1A","100nA (ICBO)","85 @ 1A, 2V","1W","180MHz","150°C (TJ)","Surface Mount","3-XDFN Exposed Pad","DFN1010D-3"
http://www.nxp.com/documents/data_sheet/PBSS4160QA.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-XFDFN%20Exposed%20Pad.jpg,568-10933-1-ND,PBSS4160QAZ,NXP USA Inc.,TRANS NPN 60V 1A 3DFN,7103,0,"0.48000","0","1","Cut Tape (CT)","-","Active","NPN","1A","60V","245mV @ 50mA, 1A","100nA (ICBO)","85 @ 1A, 2V","1W","180MHz","150°C (TJ)","Surface Mount","3-XDFN Exposed Pad","DFN1010D-3"
http://www.nxp.com/documents/data_sheet/PBSS4160QA.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-XFDFN%20Exposed%20Pad.jpg,568-10933-6-ND,PBSS4160QAZ,NXP USA Inc.,TRANS NPN 60V 1A 3DFN,7103,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN","1A","60V","245mV @ 50mA, 1A","100nA (ICBO)","85 @ 1A, 2V","1W","180MHz","150°C (TJ)","Surface Mount","3-XDFN Exposed Pad","DFN1010D-3"
http://www.nxp.com/documents/data_sheet/PBSS5160QA.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-XFDFN%20Exposed%20Pad.jpg,568-12684-2-ND,PBSS5160QAZ,NXP USA Inc.,TRANS PNP 60V 1A DFN1010D-3,0,0,"0.09775","0","5000","Tape & Reel (TR)","-","Active","PNP","1A","60V","460mV @ 50mA, 1A","100nA (ICBO)","85 @ 1A, 2V","325mW","150MHz","150°C (TJ)","Surface Mount","3-XDFN Exposed Pad","DFN1010D-3"
http://www.nxp.com/documents/data_sheet/PBSS5160QA.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-XFDFN%20Exposed%20Pad.jpg,568-12684-1-ND,PBSS5160QAZ,NXP USA Inc.,TRANS PNP 60V 1A DFN1010D-3,5000,0,"0.48000","0","1","Cut Tape (CT)","-","Active","PNP","1A","60V","460mV @ 50mA, 1A","100nA (ICBO)","85 @ 1A, 2V","325mW","150MHz","150°C (TJ)","Surface Mount","3-XDFN Exposed Pad","DFN1010D-3"
http://www.nxp.com/documents/data_sheet/PBSS5160QA.pdf,//media.digikey.com/Renders/NXP%20Semi%20Renders/3-XFDFN%20Exposed%20Pad.jpg,568-12684-6-ND,PBSS5160QAZ,NXP USA Inc.,TRANS PNP 60V 1A DFN1010D-3,5000,0,"Calculate","0","1","Digi-Reel®","-","Active","PNP","1A","60V","460mV @ 50mA, 1A","100nA (ICBO)","85 @ 1A, 2V","325mW","150MHz","150°C (TJ)","Surface Mount","3-XDFN Exposed Pad","DFN1010D-3"
http://www.onsemi.com/pub_link/Collateral/BSP52T1-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/488;318E-04;ST;3.jpg,BSP52T3GOSTR-ND,BSP52T3G,ON Semiconductor,TRANS NPN DARL 80V 1A SOT-223,0,0,"0.13283","0","4000","Tape & Reel (TR)","-","Active","NPN - Darlington","1A","80V","1.3V @ 500µA, 500mA","10µA","2000 @ 500mA, 10V","800mW","-","-65°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.onsemi.com/pub_link/Collateral/BSP52T1-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/488;318E-04;ST;3.jpg,BSP52T3GOSCT-ND,BSP52T3G,ON Semiconductor,TRANS NPN DARL 80V 1A SOT-223,3707,0,"0.48000","0","1","Cut Tape (CT)","-","Active","NPN - Darlington","1A","80V","1.3V @ 500µA, 500mA","10µA","2000 @ 500mA, 10V","800mW","-","-65°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.onsemi.com/pub_link/Collateral/BSP52T1-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/488;318E-04;ST;3.jpg,BSP52T3GOSDKR-ND,BSP52T3G,ON Semiconductor,TRANS NPN DARL 80V 1A SOT-223,3707,0,"Calculate","0","1","Digi-Reel®","-","Active","NPN - Darlington","1A","80V","1.3V @ 500µA, 500mA","10µA","2000 @ 500mA, 10V","800mW","-","-65°C ~ 150°C (TJ)","Surface Mount","TO-261-4, TO-261AA","SOT-223"
http://www.diodes.com/_files/datasheets/ds31636.pdf,//media.digikey.com/Renders/Diodes%20Renders/SOT89-3L.jpg,2DC4672DITR-ND,2DC4672-13,Diodes Incorporated,TRANS NPN 50V 3A SOT89-3,2500,0,"0.13200","0","2500","Tape & Reel (TR)","-","Active","NPN","3A","50V","350mV @ 50mA, 1A","100nA (ICBO)","82 @ 500mA, 2V","900mW","180MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-243AA","SOT-89-3"
