Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Transistor Type","Current - Collector (Ic) (Max)","Voltage - Collector Emitter Breakdown (Max)","Resistor - Base (R1) (Ohms)","Vce Saturation (Max) @ Ib, Ic","Current - Collector Cutoff (Max)","Resistor - Emitter Base (R2) (Ohms)","DC Current Gain (hFE) (Min) @ Ic, Vce","Power - Max","Frequency - Transition","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KST5088,%205089.pdf",//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,KST5088MTF-ND,KST5088MTF,Fairchild Semiconductor,TRANS NPN 30V 0.05A SOT-23,0,0,"Call","0","9000","Tape & Reel (TR)","-","Obsolete","NPN","50mA","30V","500mV @ 1mA, 10mA","50nA (ICBO)","300 @ 100µA, 5V","350mW","50MHz","-","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
"//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSP8598,99.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSP8599TA-ND,KSP8599TA,Fairchild Semiconductor,TRANS PNP 80V 0.5A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","PNP","500mA","80V","400mV @ 5mA, 100mA","100nA","100 @ 1mA, 5V","625mW","150MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
"//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSP8598,99.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSP8598TA-ND,KSP8598TA,Fairchild Semiconductor,TRANS PNP 60V 0.5A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","PNP","500mA","60V","400mV @ 5mA, 100mA","100nA","100 @ 1mA, 5V","625mW","150MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
"//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSP8098,99.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSP8099TA-ND,KSP8099TA,Fairchild Semiconductor,TRANS NPN 80V 0.5A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","NPN","500mA","80V","300mV @ 10mA, 100mA","100nA","100 @ 1mA, 5V","625mW","150MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
"//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSP8098,99.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSP8099TF-ND,KSP8099TF,Fairchild Semiconductor,TRANS NPN 80V 0.5A TO-92,0,0,"Call","0","28000","Tape & Reel (TR)","-","Obsolete","NPN","500mA","80V","300mV @ 10mA, 100mA","100nA","100 @ 1mA, 5V","625mW","150MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
"//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSP8098,99.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSP8099BU-ND,KSP8099BU,Fairchild Semiconductor,TRANS NPN 80V 0.5A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","500mA","80V","300mV @ 10mA, 100mA","100nA","100 @ 1mA, 5V","625mW","150MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
"//media.digikey.com/pdf/Data%20Sheets/Fairchild%20PDFs/KSP8598,99.pdf","//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSP8599CTA-ND,KSP8599CTA,Fairchild Semiconductor,TRANS PNP 80V 0.5A TO-92,0,0,"Call","0","2000","Tape & Box (TB)","-","Obsolete","PNP","500mA","80V","400mV @ 5mA, 100mA","100nA","100 @ 1mA, 5V","625mW","150MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
https://www.fairchildsemi.com/datasheets/KS/KSC388.pdf,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC388YBU-ND,KSC388YBU,Fairchild Semiconductor,TRANS NPN 25V 0.05A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","50mA","25V","200mV @ 1.5mA, 15mA","100nA (ICBO)","20 @ 12.5mA, 12.5V","300mW","300MHz","150°C (TJ)","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
-,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1675COBU-ND,KSC1675COBU,Fairchild Semiconductor,TRANS NPN 30V 0.05A TO-92,0,0,"Call","0","60000","Bulk","-","Obsolete","NPN","50mA","30V","300mV @ 1mA, 10mA","100nA (ICBO)","70 @ 1mA, 6V","250mW","300MHz","-","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
-,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1675RBU-ND,KSC1675RBU,Fairchild Semiconductor,TRANS NPN 30V 0.05A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","50mA","30V","300mV @ 1mA, 10mA","100nA (ICBO)","40 @ 1mA, 6V","250mW","300MHz","-","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
-,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1675CYTA-ND,KSC1675CYTA,Fairchild Semiconductor,TRANS NPN 30V 0.05A TO-92,0,0,"Call","0","56000","Tape & Box (TB)","-","Obsolete","NPN","50mA","30V","300mV @ 1mA, 10mA","100nA (ICBO)","120 @ 1mA, 6V","250mW","300MHz","-","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
-,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1675CYBU-ND,KSC1675CYBU,Fairchild Semiconductor,TRANS NPN 30V 0.05A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","50mA","30V","300mV @ 1mA, 10mA","100nA (ICBO)","120 @ 1mA, 6V","250mW","300MHz","-","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
-,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1675OTA-ND,KSC1675OTA,Fairchild Semiconductor,TRANS NPN 30V 0.05A TO-92,0,0,"Call","0","56000","Tape & Box (TB)","-","Obsolete","NPN","50mA","30V","300mV @ 1mA, 10mA","100nA (ICBO)","70 @ 1mA, 6V","250mW","300MHz","-","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
https://www.fairchildsemi.com/datasheets/MM/MMBT2222.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG.jpg,MMBT2222-ND,MMBT2222,Fairchild Semiconductor,TRANS NPN 30V 0.6A SOT-23,0,0,"Call","0","3000","Tape & Reel (TR)","-","Obsolete","NPN","600mA","30V","1.6V @ 50mA, 500mA","10µA (ICBO)","100 @ 150mA, 10V","350mW","250MHz","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
-,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1675YBU-ND,KSC1675YBU,Fairchild Semiconductor,TRANS NPN 30V 0.05A TO-92,0,0,"Call","0","60000","Bulk","-","Obsolete","NPN","50mA","30V","300mV @ 1mA, 10mA","100nA (ICBO)","120 @ 1mA, 6V","250mW","300MHz","-","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
-,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1675CRBU-ND,KSC1675CRBU,Fairchild Semiconductor,TRANS NPN 30V 0.05A TO-92,0,0,"Call","0","10000","Bulk","-","Obsolete","NPN","50mA","30V","300mV @ 1mA, 10mA","100nA (ICBO)","40 @ 1mA, 6V","250mW","300MHz","-","Through Hole","TO-226-3, TO-92-3 (TO-226AA)","TO-92-3"
-,"//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/TO-92-3(StandardBody),TO-226_straightlead.jpg",KSC1675YS1TA-ND,KSC1675YS1TA,Fairchild Semiconductor,TRANS NPN 30V 0.05A TO-92,0,0,"Call","0","56000","Tape & Box (TB)","-","Obsolete","NPN","50mA","30V","300mV @ 1mA, 10mA","100nA (ICBO)","120 @ 1mA, 6V","250mW","300MHz","-","Through Hole","TO-226-3, TO-92-3 (TO-226AA) (Formed Leads)","TO-92-3"
