person1	person2	label
36c3703b-bd5b-4888-be46-2f45bcb37f8e::span:95:106	36c3703b-bd5b-4888-be46-2f45bcb37f8e::span:0:10	1
e16a971f-23ce-42e4-81df-b2386126f8b3::span:126:134	e16a971f-23ce-42e4-81df-b2386126f8b3::span:140:157	-1
bd5bd79c-6d36-45bc-a5d3-29d711098202::span:3469:3473	bd5bd79c-6d36-45bc-a5d3-29d711098202::span:3479:3484	-1
53ee44ac-8634-4449-afb8-7c69b108aafd::span:708:721	53ee44ac-8634-4449-afb8-7c69b108aafd::span:977:989	1
0466d5cb-256b-41a0-9cd2-cc41d8916ede::span:2884:2891	0466d5cb-256b-41a0-9cd2-cc41d8916ede::span:3082:3088	-1
77d7e5be-5cbc-4f79-ad32-b928f37eadea::span:408:421	77d7e5be-5cbc-4f79-ad32-b928f37eadea::span:466:477	-1
8ed8e52a-d1e9-4df2-b7cf-c5bf3961d40d::span:3767:3778	8ed8e52a-d1e9-4df2-b7cf-c5bf3961d40d::span:4044:4048	-1
7f3a99b0-84ae-467f-887e-841888bcf686::span:699:702	7f3a99b0-84ae-467f-887e-841888bcf686::span:1104:1109	-1
0a82b8cd-f6b3-4a4f-a55d-851b8a73459d::span:582:597	0a82b8cd-f6b3-4a4f-a55d-851b8a73459d::span:687:699	1
7f3a99b0-84ae-467f-887e-841888bcf686::span:1065:1070	7f3a99b0-84ae-467f-887e-841888bcf686::span:699:702	-1
e87c20b0-2955-4d9a-9e6e-5b21ccff9de0::span:2969:2978	e87c20b0-2955-4d9a-9e6e-5b21ccff9de0::span:2865:2867	-1
d567cabb-a65f-426f-a283-a7008e00a75e::span:10547:10551	d567cabb-a65f-426f-a283-a7008e00a75e::span:10326:10330	-1
affed66e-3a08-40d0-b11f-51b5727dccc4::span:182:186	affed66e-3a08-40d0-b11f-51b5727dccc4::span:224:226	-1
c393a09d-b1a5-4161-b0e2-073fbcc57cec::span:6320:6326	c393a09d-b1a5-4161-b0e2-073fbcc57cec::span:6336:6344	-1
e4ecae10-8368-4a2e-80fa-8a7dc1042e60::span:4563:4573	e4ecae10-8368-4a2e-80fa-8a7dc1042e60::span:4623:4633	-1
46293950-dc62-408f-944c-369a51a05e40::span:2184:2189	46293950-dc62-408f-944c-369a51a05e40::span:2049:2057	-1
c24931e6-be98-4056-ae2d-ab91fe5a2514::span:3:8	c24931e6-be98-4056-ae2d-ab91fe5a2514::span:265:276	-1
eb37fc13-8650-4762-995d-ef19d981341d::span:485:489	eb37fc13-8650-4762-995d-ef19d981341d::span:546:549	-1
